class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
Horse Stance,0.5419245362,0.02729091048,-0.4448031783,0.9999666214,0.5534139872,0.004943162203,-0.4193258882,0.9999220371,0.5609630942,0.005395174026,-0.4193840027,0.999905467,0.5682680011,0.0061378479,-0.4194857478,0.9998993874,0.5338680148,0.004919886589,-0.4087874889,0.9999258518,0.5287598372,0.005501270294,-0.4088417888,0.9999266863,0.5243531466,0.006353020668,-0.4088891447,0.9999260902,0.5812960267,0.01396012306,-0.2656875551,0.9999278784,0.5232591033,0.01799070835,-0.2145637572,0.9999136925,0.556375742,0.05088547245,-0.388520211,0.9999802113,0.5346379876,0.05230518803,-0.3743642867,0.9999728203,0.6325950027,0.1684439182,-0.2434704751,0.9998421669,0.4845625758,0.1581449807,-0.09200229496,0.9997296929,0.6520648599,0.3153113425,-0.3794022799,0.9902769327,0.4777800441,0.283236444,-0.2466394454,0.8134716749,0.6008603573,0.3882695138,-0.6159837842,0.9717422724,0.4675144553,0.3595706224,-0.6439327598,0.8657788038,0.5854782462,0.4223203361,-0.692956388,0.9588847756,0.461207062,0.3795046806,-0.7293351293,0.8746634722,0.5737546682,0.4016242027,-0.7059461474,0.959859848,0.462120235,0.3710888624,-0.75601089,0.8752670288,0.5755993724,0.3912313879,-0.6252145171,0.9368649125,0.466947794,0.3640615046,-0.666888237,0.8408012986,0.6040235162,0.4526748061,-0.04683925956,0.9998506308,0.5164855123,0.4478512406,0.04657274857,0.9998466969,0.6991223693,0.6011331081,-0.2385609597,0.9956973791,0.3673792481,0.5533217788,-0.1282382607,0.9971379042,0.7612485886,0.7746121287,0.1451924592,0.9937486649,0.3942847848,0.7088930607,0.2857028544,0.9902502894,0.7593272924,0.7940593958,0.1723428518,0.8925340772,0.4230476022,0.7361984253,0.3189588189,0.9656923413,0.7762434483,0.8528047204,-0.02130386978,0.9781441092,0.3326455355,0.77508986,0.203999728,0.9691573381
Horse Stance,0.5398031473,0.02771259099,-0.4030846655,0.9999648929,0.5512478948,0.005302321631,-0.3771791756,0.9999181032,0.5590074658,0.005896251183,-0.3772211671,0.9999025464,0.5664156079,0.006847720128,-0.3773088753,0.9998976588,0.5318422914,0.00507689314,-0.3662867248,0.9999189377,0.5269173384,0.005625291262,-0.3663817942,0.9999192357,0.5222253203,0.00645810226,-0.3664124608,0.9999181032,0.5792809725,0.0159149617,-0.2257103175,0.9999250174,0.5215825438,0.01807398349,-0.1694311798,0.9998959303,0.5543904901,0.05230729282,-0.3475698233,0.9999790788,0.532394588,0.05266804993,-0.3317358494,0.9999682307,0.6334217787,0.1683640778,-0.1989507079,0.9998474717,0.4839936793,0.1588330418,-0.06566801667,0.9997160435,0.6523033381,0.3152513504,-0.3472436965,0.9904591441,0.4782748818,0.288813591,-0.2118196934,0.811040163,0.6058374047,0.3892551064,-0.6018379331,0.9729883671,0.4675834179,0.3600568175,-0.6026085019,0.8710767031,0.5920695066,0.4227181971,-0.6791225076,0.9603962302,0.4599133134,0.3798885643,-0.6925481558,0.8792639375,0.5819673538,0.4017215073,-0.6951435804,0.9613085389,0.4594954848,0.3715040088,-0.7211624384,0.8800222874,0.5828951597,0.3914171755,-0.6128707528,0.939322412,0.4651550651,0.3649442792,-0.6269313693,0.8470141292,0.6046177149,0.4589223862,-0.04404791817,0.9998287559,0.5151202083,0.4533442557,0.04381014407,0.9998326898,0.6997129321,0.6091888547,-0.2689798474,0.9959493876,0.3671465814,0.5539799929,-0.1906317174,0.9972702861,0.7602559328,0.7701885104,0.1454893202,0.9938725233,0.3938618898,0.7090328336,0.2373362482,0.9906691313,0.7591709495,0.786929667,0.1747834235,0.8919074535,0.4183369577,0.7362273335,0.2712197602,0.9662446976,0.7717013359,0.8529586792,-0.0173969008,0.9780575037,0.3301005065,0.7743884921,0.1434715092,0.969878912
Horse Stance,0.5309597254,0.02709845081,-0.3953153491,0.9999661446,0.5431655645,0.003725538962,-0.364541471,0.9999215603,0.551653564,0.004102250561,-0.364593327,0.999907136,0.5594718456,0.005067956168,-0.3646913171,0.9999029636,0.5235877037,0.003861344885,-0.3575624526,0.9999213815,0.5176957846,0.004436783958,-0.3576464355,0.9999213815,0.5123258829,0.005322693847,-0.3576422334,0.9999200106,0.5721882582,0.01542604621,-0.2019859254,0.9999273419,0.5101860762,0.01741169766,-0.1645605564,0.9998952746,0.5447688103,0.05250821263,-0.3373290598,0.9999794364,0.5231180191,0.05265675858,-0.3266717196,0.9999678731,0.6267763972,0.1689205915,-0.167663008,0.9998503923,0.4721411765,0.1618565023,-0.0693834126,0.9997029305,0.6403158903,0.3194559216,-0.3060526848,0.9901924133,0.469815433,0.2969097495,-0.210208416,0.8086562753,0.605647862,0.3897468448,-0.56441468,0.9728255272,0.4619284272,0.3624266386,-0.5829518437,0.8724141717,0.5916129351,0.4228418469,-0.6391891837,0.9598929882,0.4521238804,0.3824867904,-0.6704024076,0.8801121712,0.5814726949,0.4017493427,-0.6548410058,0.9608109593,0.4521558285,0.3734662235,-0.6982907057,0.8811574578,0.5824478865,0.3915033042,-0.5758715868,0.9391173124,0.457978636,0.3675743937,-0.6060868502,0.8489124179,0.5972124338,0.4634213746,-0.03470165655,0.9998204708,0.5030403733,0.4610632956,0.03444015235,0.9998217225,0.6930413842,0.6123120785,-0.3152254224,0.9961118698,0.3567971587,0.5547523499,-0.2219825983,0.9973070621,0.7493651509,0.7741939425,0.0784066543,0.9939466119,0.3804371953,0.7108165622,0.1875843108,0.9908255935,0.7471595407,0.7922126651,0.1071723923,0.8915174007,0.4049240947,0.7385597229,0.2197177112,0.9655985236,0.7591776252,0.854370892,-0.08501782268,0.977919817,0.3152289093,0.7751083374,0.09272041172,0.9697985649
Horse Stance,0.5259538293,0.03154237196,-0.3518169224,0.9999678731,0.5384145975,0.007005437277,-0.320548296,0.9999261498,0.5468987226,0.007454036735,-0.3205871582,0.999912858,0.5546333194,0.008381579071,-0.3206584454,0.9999094605,0.5187418461,0.006297399756,-0.3139469028,0.9999250174,0.512663424,0.006397947203,-0.3140104413,0.9999245405,0.5073586106,0.006847316865,-0.313977927,0.9999229908,0.5659562349,0.01918581128,-0.1604476124,0.9999315739,0.5041986108,0.01870730892,-0.1244135275,0.9998962879,0.5390104651,0.05887473747,-0.2950211167,0.9999804497,0.517729938,0.05662474409,-0.2849245667,0.9999684691,0.6195374727,0.1719781458,-0.1408145577,0.9998605251,0.4648746848,0.1670106798,-0.03807788715,0.9996970296,0.6339059472,0.3246898055,-0.2814700902,0.9902746081,0.4633792043,0.2977508008,-0.185093984,0.8086215854,0.6026130915,0.3947728574,-0.5402963161,0.9740428925,0.4582602084,0.3683663011,-0.5476605296,0.8765046597,0.5890575647,0.4292826653,-0.6157460809,0.9615246058,0.4465346336,0.3885872662,-0.6337760091,0.883368969,0.5787311792,0.407469213,-0.632802546,0.9623941779,0.4485689998,0.3797381818,-0.6597944498,0.8846203685,0.5800632238,0.3966068029,-0.5521842837,0.9417983294,0.4548558593,0.3743476868,-0.5700587034,0.8537285924,0.5896839499,0.4712105095,-0.03473985195,0.9998248816,0.4955678582,0.4691329896,0.03446285799,0.999820292,0.6849981546,0.6143361926,-0.3330688775,0.9963598847,0.3493467867,0.5606280565,-0.1897949278,0.9973920584,0.7428996563,0.7761734724,0.04502663761,0.9942038059,0.3735046089,0.7148293257,0.2219412774,0.9910424352,0.7415090799,0.7941561937,0.07289532572,0.8926330805,0.3980825245,0.7434447408,0.2546218336,0.9655243158,0.7520150542,0.8583527207,-0.1206057295,0.9785437584,0.307441622,0.7801870108,0.1346514523,0.9701346755
Horse Stance,0.5165656805,0.03373779356,-0.3363972008,0.99996984,0.5281333923,0.009104756638,-0.3029383719,0.9999315143,0.5367234945,0.009345158935,-0.3029896021,0.9999192953,0.5452142954,0.01005979255,-0.303068459,0.9999164343,0.5090174079,0.008661796339,-0.2971496582,0.9999299645,0.5035567284,0.008756132796,-0.2972090542,0.9999290705,0.4972247481,0.009159687907,-0.2971682847,0.9999275804,0.5586395264,0.02242219634,-0.1371811926,0.9999365807,0.494246155,0.02234069631,-0.1047066227,0.9999012351,0.5291067362,0.0620900467,-0.278067112,0.9999816418,0.5088205934,0.06049960479,-0.2689923644,0.99996984,0.6102797985,0.1754537076,-0.1123529896,0.9998688102,0.4562880993,0.1749848276,-0.01861540601,0.9996899962,0.6274484396,0.3300961852,-0.2548038363,0.990234673,0.4568522871,0.3107913136,-0.1681539416,0.8066183925,0.5976366401,0.3972652555,-0.5278095007,0.9747091532,0.4498957098,0.3755303919,-0.5454210639,0.8791483045,0.5841701031,0.4313605726,-0.6043871045,0.9623292685,0.4393170774,0.3951933086,-0.6335254908,0.8852989674,0.5750135183,0.4088945389,-0.6195828915,0.9631428123,0.4408805966,0.3841772974,-0.6583670974,0.8867554665,0.5760122538,0.3980106115,-0.5392033458,0.9432910681,0.447322458,0.3791000545,-0.5675615668,0.8569883108,0.5816272497,0.4780516028,-0.03355639055,0.9998289943,0.4874334335,0.4771971703,0.03327047452,0.9998185635,0.6803690195,0.6194432378,-0.3295689523,0.9965900183,0.3405305743,0.5693558455,-0.1833997518,0.9974678159,0.7373297215,0.7786453962,0.05216277763,0.9944013953,0.3679269254,0.7190251946,0.2277280539,0.9911800623,0.7347946763,0.7977297306,0.08051336557,0.8936511874,0.3929462731,0.7478761673,0.2622013688,0.9653092623,0.7461606264,0.8589813709,-0.1144813746,0.9789571762,0.3012166619,0.7860822678,0.1432567537,0.9701410532
Horse Stance,0.50527668,0.03485679999,-0.3378426135,0.9999720454,0.5173094273,0.01023954526,-0.3043764532,0.9999369383,0.5252577066,0.01050313376,-0.3044380248,0.999925673,0.5334335566,0.01127674896,-0.3045054078,0.9999232888,0.4995776713,0.009953532368,-0.2981241345,0.9999352098,0.4939029217,0.01022391301,-0.2981894612,0.9999340773,0.4872701764,0.01077742223,-0.2981461883,0.9999326468,0.5471704006,0.02482702211,-0.1390289217,0.999941349,0.4839434028,0.02453476191,-0.1056341678,0.9999068379,0.5163747072,0.0635214746,-0.2798630595,0.9999828935,0.4980036318,0.06270033866,-0.2705944777,0.9999714494,0.5983231664,0.1776876748,-0.1102996916,0.9998778105,0.4469018579,0.1765052676,-0.007666580379,0.999695003,0.6191393137,0.3319762647,-0.2381542623,0.9905398488,0.4466970563,0.3137286603,-0.1232485026,0.8034672141,0.5856123567,0.3997475505,-0.5035299659,0.9755467176,0.4335571229,0.3806668818,-0.4772950113,0.8793068528,0.568797946,0.4345202148,-0.5779076219,0.9630300403,0.424230963,0.3984723091,-0.5592433214,0.8841503859,0.5599024892,0.4110474885,-0.5898141265,0.9637815356,0.425676018,0.3882170618,-0.5896838903,0.8859713078,0.5632271171,0.3997818232,-0.5132598877,0.9444290996,0.4316334724,0.3835135996,-0.5009909868,0.8569754958,0.5716069937,0.4781731069,-0.03410194069,0.9998351932,0.4787819386,0.4771679342,0.03380366415,0.9998194575,0.6685650945,0.6189681888,-0.323874861,0.9968143106,0.3333393037,0.5703446865,-0.1806584746,0.9975435138,0.7299154401,0.7786071897,0.03523074836,0.9946649075,0.3569402993,0.7215706706,0.235694766,0.9913871288,0.7286113501,0.7986314297,0.06102499366,0.8961982131,0.3819164336,0.749394834,0.2684996426,0.9654269814,0.7390307188,0.858951807,-0.1379685104,0.9797260761,0.2924323678,0.7872624993,0.1473794878,0.9705182314
Horse Stance,0.4928845763,0.03521500528,-0.3271362484,0.9999731779,0.5054833293,0.0108411042,-0.2938244045,0.9999403358,0.5133947134,0.01107507292,-0.2938714921,0.9999299049,0.5216497779,0.01182186417,-0.2939461768,0.9999281168,0.4886184633,0.01054991689,-0.2869406641,0.9999380112,0.4829362929,0.01080425084,-0.2870029211,0.9999365211,0.4770626128,0.0113479821,-0.2869621515,0.9999350905,0.5360862017,0.02577572316,-0.1310708523,0.9999443889,0.4768104553,0.02484607324,-0.09454143047,0.9999076128,0.5038792491,0.06424434483,-0.2703663111,0.9999835491,0.4870044589,0.06320036203,-0.2602195144,0.999971807,0.5889322758,0.1783654392,-0.1106023043,0.9998845458,0.4371815622,0.177324146,-0.008712883107,0.9996893406,0.6101433039,0.3318838775,-0.2533715069,0.9906898141,0.4379757345,0.3125270605,-0.1490121633,0.8018860221,0.5746843219,0.3996862471,-0.5124665499,0.9762079716,0.4271068573,0.3787865937,-0.5107586384,0.8786102533,0.5583944917,0.4353990853,-0.5876797438,0.9636529088,0.4181693494,0.3975242376,-0.5965857506,0.8824076653,0.547842443,0.4130288661,-0.6003047228,0.9643407464,0.421633631,0.3878654838,-0.6222920418,0.8844265342,0.5512725711,0.4006496966,-0.5224183798,0.9454705715,0.4276006818,0.3827854693,-0.5330135226,0.8560521007,0.5637382865,0.477861017,-0.03322932869,0.9998375773,0.4699161649,0.4770355523,0.03292588517,0.9998182058,0.6614974737,0.6189422607,-0.3145893514,0.9969909191,0.324256748,0.572221756,-0.1792290509,0.9976087213,0.7229899764,0.7785376906,0.05851849169,0.9948063493,0.3516793251,0.7250373363,0.2290319651,0.9914781451,0.7226976156,0.7982935309,0.08594845235,0.8954167962,0.3771964908,0.752784729,0.2613885999,0.9644460678,0.7329835296,0.8590704203,-0.1097588986,0.9799363613,0.2865259051,0.7904615402,0.1394833624,0.9703298807
Horse Stance,0.5013753772,0.04619846493,-0.329074204,0.9999737144,0.5136201978,0.02362172678,-0.2981892824,0.9999425411,0.5216950178,0.02429536171,-0.2982292175,0.9999327064,0.5296117067,0.02543673292,-0.2983096242,0.9999314547,0.4945890307,0.02271000855,-0.2901811004,0.9999393225,0.4894405007,0.02293698117,-0.2902404368,0.9999372959,0.4839891791,0.02295584604,-0.2902222574,0.9999355674,0.5431234837,0.03921906278,-0.1431887448,0.9999467134,0.483543545,0.03878620639,-0.100917615,0.9999068975,0.5142663717,0.07474248111,-0.2747375965,0.9999839067,0.493853718,0.07435949147,-0.2628311813,0.9999713898,0.5969253778,0.1976177394,-0.1297754347,0.999884665,0.4453764856,0.189180553,-0.01641359739,0.9996631742,0.6146947145,0.3500237763,-0.2756614089,0.9903880358,0.4447819591,0.3220091462,-0.1655180454,0.7925693989,0.5785742998,0.4124755561,-0.5315016508,0.9767406583,0.4342198968,0.3907744288,-0.5340307951,0.8768488765,0.5591228604,0.4453960657,-0.6070836782,0.9645360708,0.4255388677,0.4134646058,-0.6188787222,0.8810114861,0.551694572,0.425114423,-0.620562315,0.965233624,0.4280831218,0.406485945,-0.6446925402,0.8831766248,0.551630497,0.4156298637,-0.5411645174,0.947190702,0.4339047372,0.401237905,-0.5566616654,0.8558065891,0.5699560642,0.4960047603,-0.03360999376,0.9998232722,0.4760577083,0.4908890128,0.03332139179,0.9998018146,0.6670066118,0.6388608813,-0.3168129623,0.9970318079,0.3286090493,0.5869827271,-0.1892655641,0.9976049662,0.726950109,0.8021313548,0.0683908239,0.9945919514,0.3565399051,0.7362935543,0.2174184769,0.9913198352,0.7267869115,0.8194803596,0.09634701908,0.8908198476,0.3804144859,0.7663536072,0.2492901981,0.9636084437,0.7361736298,0.8829009533,-0.1057087034,0.9784679413,0.2901426256,0.8028228879,0.1352436244,0.9689747095
Horse Stance,0.5055233836,0.05141947791,-0.3153451383,0.999974668,0.5177943707,0.02978650108,-0.2844700515,0.9999452829,0.5258960724,0.03041826561,-0.2845081985,0.9999360442,0.5335885286,0.0314329192,-0.2845846713,0.9999352694,0.4981544912,0.02822983637,-0.276789844,0.9999415278,0.4928070009,0.02809687704,-0.2768507004,0.9999390841,0.4877204299,0.02800165676,-0.2768258452,0.9999371171,0.5468505621,0.04462700337,-0.1304820478,0.9999493957,0.4870867133,0.04271572456,-0.09027531743,0.9999075532,0.5189133883,0.07990255952,-0.261377424,0.9999843836,0.4973360896,0.07858064026,-0.2500659823,0.999971509,0.6004017591,0.2023675889,-0.1252616197,0.9998884797,0.4489425123,0.1927900761,-0.001957627712,0.9996387959,0.6176506281,0.3521414101,-0.2698928714,0.9904762506,0.4478496611,0.3221058249,-0.1459376067,0.7848082185,0.578743577,0.418076396,-0.5181075335,0.9778995514,0.4370327592,0.3959850371,-0.5054723024,0.8777122498,0.5661651492,0.4522569776,-0.5904002786,0.9661896229,0.4280222356,0.4173757732,-0.5877735019,0.8820210099,0.5552071929,0.4339389801,-0.6087135673,0.9668667912,0.4300947785,0.4103536308,-0.6158944964,0.8844087124,0.5523219705,0.4245791137,-0.5298472047,0.9498656392,0.4360096455,0.405074805,-0.5289239287,0.858258605,0.5721665621,0.5021668673,-0.03429410979,0.9998096824,0.4781016409,0.49617365,0.03404332325,0.999784708,0.6686655283,0.64780128,-0.3274885714,0.9970959425,0.3294858634,0.5868429542,-0.2021413296,0.9976354241,0.726977706,0.8132866621,0.0521681197,0.9944865704,0.3582884669,0.7415834665,0.1849701256,0.9913473129,0.7274282575,0.8310080171,0.0796572715,0.8890773654,0.3815284967,0.7733569741,0.2148107737,0.9637015462,0.7358714342,0.8893195987,-0.1072229967,0.9775768518,0.2902391553,0.8037650585,0.1034568325,0.9683753848
Horse Stance,0.5075455308,0.05435427278,-0.3168182373,0.9999754429,0.5193923116,0.0325634554,-0.2850135267,0.9999476671,0.5276139975,0.03298282251,-0.2850580513,0.9999391437,0.5357734561,0.0337240845,-0.2851447463,0.9999386668,0.5003908873,0.03149560839,-0.2783891857,0.999943316,0.4950609803,0.03133440763,-0.2784462571,0.9999406934,0.4899565578,0.03116306476,-0.2784115076,0.9999384284,0.5489334464,0.04587233439,-0.1253064573,0.9999518991,0.4891216159,0.04419763386,-0.08968092501,0.9999089241,0.5205981135,0.08206279576,-0.2604973018,0.9999848008,0.4997074604,0.08141788095,-0.2504716516,0.9999716282,0.6024264693,0.2021182179,-0.1187916845,0.9998918176,0.4509555399,0.1921813637,0.0003426157054,0.9996150136,0.6189630032,0.3516729772,-0.2683898211,0.9903892875,0.4496608675,0.3230020702,-0.1531202197,0.778268218,0.5797085166,0.418390125,-0.5192305446,0.9785442352,0.4385229051,0.3923833072,-0.5208014846,0.8775892258,0.5684544444,0.4517864287,-0.5922758579,0.967114687,0.4289635718,0.4134381413,-0.605102241,0.8819147944,0.5578785539,0.4324916303,-0.6105761528,0.967787981,0.4302947521,0.4062756598,-0.6321002245,0.8844899535,0.5533715487,0.4229629338,-0.5314546824,0.9515134692,0.4357662201,0.4012972116,-0.5440138578,0.8590764999,0.5721303821,0.4995809793,-0.03434586897,0.9997981787,0.4788642526,0.4931114614,0.03413015231,0.9997689724,0.6682531238,0.6446902156,-0.3362781405,0.9972428679,0.3303557634,0.583953917,-0.2194177806,0.9977083206,0.726275146,0.8076595664,0.05221482366,0.9946392179,0.359547168,0.7400388718,0.1769959182,0.9915749431,0.7263421416,0.8250528574,0.08032751083,0.8899285197,0.3824165165,0.7691650987,0.2072871923,0.9642834663,0.7340165377,0.8862807751,-0.108180739,0.9776881933,0.2912946045,0.801261723,0.08806590736,0.9685637951
