class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
Horse Stance,0.5482070446,0.0804502964,-0.5035764575,0.9999921322,0.5540789962,0.0623152256,-0.4736513495,0.999985218,0.5592296124,0.0625667572,-0.4737027287,0.9999810457,0.5633330941,0.06325021386,-0.4737478793,0.9999812841,0.5389560461,0.06187919155,-0.4774327874,0.9999890327,0.5320322514,0.06208816543,-0.4775138497,0.9999859333,0.5262489319,0.06283178926,-0.4775356352,0.9999866486,0.5675574541,0.07220110297,-0.3000969887,0.9999690056,0.5140362382,0.07445672154,-0.3194609582,0.9999828339,0.5562304258,0.1035972536,-0.4394413531,0.9999848604,0.5359682441,0.1017660201,-0.4451690614,0.9999905825,0.6100079417,0.2209091485,-0.2140537947,0.9998989105,0.4626576304,0.2116559595,-0.1803362668,0.9999341965,0.6316627264,0.350633502,-0.2121108025,0.9810497165,0.4184943736,0.3309734166,-0.1804643422,0.9574376345,0.6294458508,0.4510580301,-0.3980756402,0.9276348948,0.4512810111,0.4351868927,-0.3886896968,0.9072848558,0.6329548359,0.4919205308,-0.4537907243,0.884138763,0.4619275928,0.4742594957,-0.4367825389,0.8458148241,0.6207646132,0.4816069007,-0.4932995439,0.8889806271,0.4734309316,0.4637845755,-0.4757449031,0.8495268822,0.6178478599,0.4674784541,-0.4165636897,0.85426718,0.4727556705,0.4519458413,-0.4070970416,0.8226271868,0.5836203098,0.4857726097,-0.01604213193,0.9998402596,0.4954071939,0.4878493845,0.01603695378,0.9998680353,0.6392964125,0.6559414268,-0.1405190378,0.995603323,0.4303165376,0.6501017213,-0.03801225126,0.9960234165,0.6515614986,0.8626203537,-0.003165568458,0.9969069362,0.4284563661,0.8465709686,0.2033600062,0.9968654513,0.6357518435,0.8973804712,-0.003695913358,0.9632566571,0.4443282485,0.8838193417,0.2142834961,0.9743508101,0.70114398,0.918913424,-0.197035253,0.992472291,0.3708925247,0.9043101668,0.05847513676,0.9910815954
Horse Stance,0.5477876067,0.08359635621,-0.4463217258,0.9999924898,0.5540332794,0.06597105414,-0.4162399173,0.9999858141,0.5591928363,0.06630968302,-0.4162786901,0.9999819398,0.5632821321,0.06671914458,-0.41629529,0.9999821186,0.5386127234,0.06540486962,-0.4172843397,0.99998945,0.5318565369,0.06556645036,-0.4173529148,0.9999864697,0.5258260965,0.06595035642,-0.4173603952,0.9999870062,0.567523241,0.07626380026,-0.2550356984,0.9999704361,0.5140330791,0.07710972428,-0.2616122961,0.9999832511,0.555976212,0.1075434983,-0.3883661628,0.9999854565,0.5358108878,0.1069509536,-0.3903121352,0.9999907613,0.609952569,0.2242553085,-0.1957201511,0.9999034405,0.4625532031,0.2140366733,-0.1485427916,0.9999354482,0.6316459179,0.3505886197,-0.2203269899,0.9817962646,0.4176754057,0.3327026367,-0.1764649898,0.9576916099,0.6298674941,0.4532995224,-0.4321570396,0.931881249,0.4510208666,0.4373821616,-0.3883599639,0.9092558622,0.6332358122,0.4937917888,-0.4908205569,0.8905892968,0.460866034,0.4776230454,-0.4367411137,0.8485981226,0.6208009124,0.4831463397,-0.5272247791,0.8951128721,0.4721782207,0.4652913809,-0.4724668562,0.8520664573,0.6178534627,0.469666034,-0.4497746527,0.8617473841,0.4715613723,0.4526139498,-0.4061932564,0.8256470561,0.5836192369,0.4933255911,-0.01676840708,0.9998468161,0.4953463674,0.4931518734,0.01675218903,0.9998743534,0.6422917247,0.6597164869,-0.137729913,0.9957520366,0.4282032847,0.6577865481,-0.0082255546,0.9961426258,0.6507474184,0.8644815087,-0.00266954652,0.9969896078,0.4284549654,0.8478268385,0.2420628518,0.9969687462,0.6346179247,0.8996778131,-0.003307769774,0.9644221067,0.4447193146,0.8838108182,0.2535906434,0.974789381,0.7020035982,0.9198762774,-0.1908245981,0.9926577806,0.3708921671,0.9043117762,0.1087425575,0.9913386703
Horse Stance,0.5475907326,0.08572809398,-0.4218028188,0.9999927878,0.554029882,0.06836287677,-0.3917233944,0.9999861717,0.559188962,0.06866686046,-0.39176476,0.9999825358,0.5632762313,0.0689336732,-0.3917705119,0.999982655,0.5384514332,0.06779003888,-0.3933135867,0.9999896884,0.5317931771,0.06789884716,-0.3933755755,0.9999867678,0.5256626606,0.06813023984,-0.3933845162,0.999987185,0.5675160289,0.07833985984,-0.2313415706,0.9999712706,0.5140491724,0.07881097496,-0.2405240983,0.9999833703,0.5558859706,0.1098652259,-0.364076525,0.9999857545,0.535784483,0.1096385345,-0.3667766452,0.9999907017,0.6099249125,0.2256884426,-0.174510017,0.9999062419,0.4625601768,0.2152718902,-0.1291997731,0.9999355078,0.6316577792,0.3503616452,-0.2008991987,0.9823966622,0.4175303578,0.3333893418,-0.157036379,0.95775038,0.6307653785,0.4546380639,-0.4128732681,0.9357702136,0.4510163665,0.437884748,-0.3680406511,0.9118004441,0.6343078613,0.4945128858,-0.469852984,0.8964460492,0.4606204033,0.4779697061,-0.4169616699,0.8525007367,0.6217004061,0.4837469161,-0.5059424043,0.9006992579,0.4716142118,0.4654150307,-0.4492420554,0.8557802439,0.6185635924,0.4707637727,-0.4303183556,0.8687007427,0.4711716771,0.4526806176,-0.3849202991,0.8299136758,0.5837792158,0.4974138439,-0.01770119369,0.9998494387,0.4953859448,0.4963889718,0.01767164096,0.9998787642,0.6438559294,0.6620253921,-0.1238361821,0.9958586693,0.4265924096,0.6592587233,-0.01140858419,0.9962710142,0.6503354311,0.8659909964,0.00400026422,0.9970501661,0.4284070432,0.8484274149,0.2333574295,0.9970695376,0.6339335442,0.9012214541,0.002770423191,0.9653717279,0.4448164105,0.8837921619,0.2445406169,0.9752819538,0.702878058,0.9205038548,-0.1784065366,0.9927959442,0.3708284199,0.9042915702,0.1008833274,0.9915834069
Horse Stance,0.5474922657,0.1106177419,-0.4112815261,0.9999932647,0.5535565615,0.09184188396,-0.375895828,0.9999870658,0.5585062504,0.0919289887,-0.3759001493,0.9999836683,0.5625142455,0.0922704488,-0.3759007156,0.9999837279,0.5382935405,0.09219288826,-0.3802541196,0.999990344,0.531675756,0.09269221127,-0.3803509474,0.9999876022,0.5255506635,0.09352167696,-0.3803367913,0.9999880195,0.5654367208,0.1021334603,-0.1978296041,0.9999732375,0.5140887499,0.1037641317,-0.2196632177,0.9999845624,0.5557665229,0.1325870603,-0.3480785489,0.9999868274,0.5357868671,0.132122919,-0.3543175161,0.9999914169,0.609782815,0.2514276803,-0.130856961,0.9999124408,0.462500751,0.2455844879,-0.1247047931,0.9999395609,0.632871747,0.3661300242,-0.1654354632,0.9832499027,0.4146950841,0.3583165407,-0.1635201871,0.9608393312,0.6315675974,0.4700678587,-0.3946734667,0.940474093,0.4509782791,0.45559448,-0.3984690905,0.9179005623,0.6343008876,0.5112938285,-0.4574917257,0.9035434127,0.4602314532,0.4944365621,-0.4600643218,0.8616923094,0.6212677956,0.5033822656,-0.4906485677,0.9074488878,0.4715307355,0.4822620451,-0.4816328585,0.8646802902,0.6179797649,0.4922884107,-0.4122979045,0.8771071434,0.4711199701,0.4682402015,-0.4122343957,0.8399027586,0.5828841925,0.5247997642,-0.004711775109,0.9998547435,0.4947553575,0.5210260153,0.004698813893,0.9998867512,0.6592506766,0.6716130972,-0.2199213058,0.9959405065,0.4131809771,0.6709409952,-0.2522122562,0.996494174,0.6504727006,0.8659392595,0.04440832883,0.9967942834,0.4283598959,0.8503940105,0.06227535754,0.9971477985,0.6339200735,0.8996480107,0.05932334065,0.9641175866,0.445296675,0.883762598,0.08118688315,0.9752660394,0.7047253847,0.9208616614,-0.1122753248,0.9920793772,0.371244967,0.905174911,-0.08012875915,0.9916774631
Horse Stance,0.5466205478,0.1144989729,-0.4222370684,0.9999936223,0.5526669621,0.096961312,-0.3863974214,0.9999877214,0.5575526953,0.09710483253,-0.3863987327,0.9999845028,0.5616845489,0.09739783406,-0.386412859,0.9999844432,0.5373994112,0.09672947228,-0.3889578879,0.9999907613,0.5308063626,0.09678933024,-0.3890616298,0.9999881983,0.524299264,0.09726383537,-0.3890514076,0.9999885559,0.5646668673,0.1074184626,-0.2069999725,0.9999747872,0.5138580799,0.1103724986,-0.2203374654,0.9999854565,0.5548701882,0.1381130517,-0.3588715196,0.9999877214,0.5350236297,0.138857916,-0.3627900779,0.999992013,0.6096750498,0.2573622167,-0.1403371394,0.9999174476,0.4624911845,0.2491182536,-0.1310622245,0.9999430776,0.6337664127,0.3746329546,-0.1696552485,0.9840635657,0.412540257,0.3610518277,-0.2194820344,0.9637140036,0.632363081,0.4779645801,-0.43182078,0.9446876645,0.4509657919,0.4589357078,-0.4879583716,0.9239106774,0.6353794932,0.5204831958,-0.5000128746,0.9099139571,0.46013394,0.4984556139,-0.5565357208,0.8710225821,0.6212815046,0.5116913915,-0.5322490931,0.9134908319,0.4715289474,0.4866237342,-0.5760002136,0.8737073541,0.6178597808,0.4993719459,-0.4498028755,0.8847318292,0.4711269438,0.4724793434,-0.5018292665,0.8501434922,0.5822316408,0.5289174318,-0.002467896324,0.9998602271,0.4935150146,0.5241490006,0.002464970108,0.9998942614,0.6640773416,0.6736583114,-0.2484752387,0.9958555102,0.4104191363,0.671872735,-0.2615270019,0.9966237545,0.6505024433,0.8662441969,0.03608019277,0.9963401556,0.428353548,0.8517360687,0.05348036811,0.9971268177,0.6338474154,0.8992429972,0.05095411092,0.9621619582,0.4463005662,0.8839742541,0.07237478346,0.9748898745,0.7072803378,0.9208533764,-0.12174128,0.9909302592,0.3711484373,0.9069066644,-0.0882011205,0.9914554954
Horse Stance,0.5439136624,0.1322048306,-0.3804215491,0.9999941587,0.5505363941,0.1134967282,-0.3423274755,0.9999887347,0.5548399091,0.113572374,-0.342326194,0.9999857545,0.5595465302,0.1139508188,-0.3423276544,0.9999856353,0.5349260569,0.1138873547,-0.3454440832,0.9999915361,0.5281728506,0.1143773273,-0.3455406725,0.999989152,0.5220838785,0.1152990237,-0.3455182016,0.9999895096,0.5631870031,0.1247348115,-0.1619889289,0.9999768138,0.5132299662,0.1270665228,-0.179037258,0.9999867082,0.5526529551,0.154375121,-0.3176547885,0.9999887347,0.5323764086,0.1544579864,-0.3224616945,0.9999927282,0.609582305,0.2714801729,-0.1009799615,0.9999229908,0.4624465108,0.2644818425,-0.1046907082,0.9999471903,0.6364995837,0.3843356073,-0.1477068663,0.9848994613,0.4090585709,0.3732102811,-0.2064903975,0.9666489363,0.6333358288,0.4866753519,-0.3801693618,0.9489471316,0.4501202703,0.4689838588,-0.4708556235,0.9301678538,0.6366106272,0.5275995731,-0.4484684467,0.9163689017,0.4588845372,0.509349823,-0.5391731262,0.8809790015,0.6213204861,0.5206756592,-0.4781194329,0.9196280837,0.4714800417,0.4974749982,-0.5574828386,0.883362174,0.6176359057,0.5087582469,-0.3972207606,0.8925862908,0.4711107612,0.4825779498,-0.4839866757,0.861215651,0.5809158683,0.542863667,0.001209058799,0.9998642206,0.4918886721,0.5383457541,-0.001182897016,0.9999009967,0.6705428958,0.6796678901,-0.2483336478,0.9957072139,0.4058364928,0.6744508743,-0.2825520635,0.9967668056,0.6511556506,0.8650026321,0.06036550552,0.9956088662,0.4278056026,0.8533338904,0.05345388129,0.9970792532,0.6339471936,0.8954313397,0.08008988202,0.9605790973,0.4465260506,0.8844482899,0.07541846484,0.974403739,0.709412992,0.9199876785,-0.07739222795,0.9891348481,0.3702337146,0.9084370136,-0.07699851692,0.9910795689
Horse Stance,0.5434812307,0.1344467551,-0.3766909242,0.999994576,0.5498954058,0.1155209318,-0.3387708366,0.9999895096,0.5542277098,0.1154656783,-0.3387718797,0.9999867082,0.5589705706,0.1158433706,-0.3387770653,0.999986589,0.5341780186,0.1153845862,-0.3414636254,0.9999921322,0.5273507237,0.1153363883,-0.3415552974,0.9999899268,0.5211550593,0.1157480553,-0.3415346444,0.9999902248,0.5625020266,0.1259461343,-0.1580658853,0.9999784231,0.5127568841,0.1283411682,-0.1725409329,0.9999877214,0.5519440174,0.159051612,-0.3135846257,0.9999896288,0.5320876241,0.1600684971,-0.3176602721,0.9999933243,0.6090534329,0.2734546661,-0.09734810889,0.9999276996,0.4625451565,0.2658033371,-0.09552685171,0.9999500513,0.6387442946,0.3902042508,-0.1447394341,0.9855892658,0.4088011384,0.3758661449,-0.2007246912,0.969032526,0.6338089705,0.4896619916,-0.3657576442,0.952617228,0.4493364692,0.4737634957,-0.4681944251,0.935405314,0.6372235417,0.5315474272,-0.432400614,0.9218711257,0.4576426148,0.5141261816,-0.5374050736,0.8892745972,0.6214106083,0.5231009126,-0.462482214,0.9248318672,0.4707046449,0.5026021004,-0.556209147,0.8913875818,0.6176196933,0.5102601647,-0.3824218512,0.899228394,0.4705114365,0.4882795215,-0.4816396236,0.8703768253,0.5807493925,0.546349287,0.0009787767194,0.9998670816,0.4907054901,0.5416212678,-0.0009423367446,0.9999066591,0.6714686155,0.680945456,-0.2609501779,0.9955994487,0.4042266011,0.6755067706,-0.3037312627,0.9968995452,0.6519622803,0.8628532887,0.05707591027,0.9950076342,0.4272342622,0.8539869189,0.04119509831,0.9970503449,0.63395226,0.8934798837,0.07665555179,0.9587826133,0.4465702474,0.8844813704,0.06429513544,0.9742119908,0.7094607353,0.9166067243,-0.08737172931,0.9875829816,0.3701801896,0.9101139307,-0.09214323759,0.9908064604
Horse Stance,0.541644454,0.1486346722,-0.3483786583,0.9999949336,0.5488055944,0.1299143732,-0.310995847,0.9999901652,0.5527252555,0.1299654692,-0.3109924495,0.9999875426,0.5574461222,0.130161345,-0.3110104799,0.9999873638,0.5328159332,0.1299005747,-0.3133453131,0.999992609,0.5258654952,0.1300237626,-0.3134209812,0.9999905825,0.520024538,0.1303849667,-0.3133919835,0.9999908805,0.561389029,0.1400426477,-0.1378884017,0.9999798536,0.5121407509,0.1422575116,-0.1504382789,0.9999886155,0.5504578948,0.1718924642,-0.2882364094,0.9999904037,0.5305389166,0.1722530872,-0.2916920483,0.9999938607,0.6085829139,0.28666237,-0.08232232183,0.9999322891,0.4623528421,0.2778106928,-0.08534869552,0.9999529123,0.6418693662,0.3988781869,-0.1369113028,0.9861284494,0.4058116972,0.3863520622,-0.1983139217,0.9714801908,0.6370272636,0.4870382249,-0.3630470037,0.9560541511,0.4490648806,0.4774819911,-0.4546622336,0.9407045245,0.6394625306,0.5292145014,-0.4301656187,0.9271422625,0.4573968053,0.5179704428,-0.5217268467,0.8977869749,0.6231147647,0.5196153522,-0.4585524499,0.9298319221,0.470800072,0.5067450404,-0.5389826894,0.8996263146,0.6188645363,0.506682992,-0.3793328106,0.9056548476,0.4707818925,0.4929074347,-0.4671818316,0.8798072934,0.578658998,0.554641664,0.001211992116,0.9998713136,0.4877122045,0.5510454178,-0.001193942153,0.9999117255,0.6735866666,0.6828064322,-0.2782414854,0.9955536723,0.399435997,0.682584703,-0.2789511681,0.9970198274,0.6524946094,0.862699151,0.0464162752,0.9945912957,0.4265916348,0.8549107313,0.05630123615,0.9969919324,0.6339062452,0.8929607868,0.06321174651,0.9581397176,0.4466001093,0.8848761916,0.07931368798,0.973890543,0.7099398375,0.9155749679,-0.09312911332,0.9863795638,0.3702738285,0.910746634,-0.06376165897,0.990426898
Horse Stance,0.5413128138,0.1515657604,-0.3424014449,0.9999952912,0.5484204292,0.1320938617,-0.3059319854,0.9999908805,0.5523900986,0.1320779771,-0.3059421778,0.9999884367,0.557153821,0.1324187517,-0.3059698939,0.9999882579,0.5318750143,0.1317219287,-0.3078044653,0.9999930859,0.5246890187,0.1315358877,-0.3078645766,0.9999912381,0.5190494061,0.1316097826,-0.3078182936,0.9999914765,0.5611017942,0.1423688829,-0.1318315715,0.9999813437,0.511433661,0.1430784911,-0.1420452893,0.99998945,0.5502015352,0.1770499498,-0.2812226117,0.9999911785,0.5302960873,0.1772941798,-0.2839559019,0.9999943376,0.6078047156,0.2847132087,-0.0728963688,0.9999376535,0.4624014497,0.2786870003,-0.07340925932,0.9999554157,0.6434155703,0.3977490664,-0.132396251,0.9868853092,0.4053919911,0.3876896203,-0.1856271625,0.9736978412,0.6388402581,0.4850867689,-0.3664512038,0.9596546292,0.4489827156,0.4805721939,-0.4466907978,0.9454601407,0.6396423578,0.5284337401,-0.4349996448,0.9327615499,0.457421869,0.5218125582,-0.5110275745,0.9054096341,0.6234856248,0.5181857944,-0.4632617831,0.9351867437,0.4712767601,0.5107976198,-0.5324015617,0.9069879651,0.6192823648,0.5047258735,-0.3823926747,0.9125789404,0.4715461731,0.4977363646,-0.4621797204,0.888189435,0.5776065588,0.5560485125,0.001444942085,0.9998779297,0.485953033,0.5527752042,-0.001416982966,0.9999167323,0.6737465858,0.6833534837,-0.2862781584,0.9955386519,0.3977709711,0.6854788661,-0.2817211449,0.9971281886,0.6525310874,0.8617025614,0.04339560494,0.9942777157,0.4261603951,0.8548179269,0.05564870313,0.9969471097,0.6332892776,0.8927692175,0.0569059737,0.958476305,0.4465560317,0.8838816881,0.07913221419,0.9737355709,0.7102743983,0.9153562188,-0.09872542322,0.9854124188,0.3706940114,0.910544157,-0.06363715231,0.990072906
Horse Stance,0.5410353541,0.17410779,-0.4016098082,0.9999951124,0.5478523374,0.1548518389,-0.3581328392,0.9999905229,0.551424861,0.1550152302,-0.3581172228,0.9999879599,0.5558303595,0.1553360671,-0.3582186699,0.9999876618,0.5314058661,0.1553918868,-0.3622472882,0.9999927878,0.5244343877,0.155912444,-0.3623857498,0.9999909997,0.5188629627,0.1566268355,-0.3623701036,0.9999912381,0.5592550635,0.1655409336,-0.150856927,0.9999807477,0.5109218955,0.166873306,-0.1759468317,0.99998945,0.5499348044,0.1973207891,-0.3345347643,0.9999912381,0.5300529003,0.1962603629,-0.3399866223,0.9999943972,0.6078261137,0.312458396,-0.1037021503,0.999932766,0.4613309801,0.305131644,-0.1378986388,0.9999537468,0.6441999674,0.4317456484,-0.2324000299,0.987349987,0.4057250917,0.4069441855,-0.2832372189,0.9754209518,0.6215271354,0.4974586666,-0.4803318381,0.9613367915,0.4505746365,0.4804693162,-0.5486639738,0.9486778975,0.6113584042,0.5352762938,-0.5504411459,0.9344460368,0.4613187909,0.5171478987,-0.6181433797,0.9103186727,0.5985211134,0.5174902081,-0.5600358844,0.9365721345,0.4737309515,0.5060399175,-0.6271990538,0.911562562,0.5998503566,0.5054351091,-0.4892567098,0.9135080576,0.4724951684,0.493426621,-0.558318913,0.8925382495,0.5774380565,0.5719393492,0.005072821397,0.9998717308,0.4860173762,0.5706987381,-0.0050688833,0.9999176264,0.6798956394,0.6869156361,-0.3670213819,0.9953910112,0.3910475671,0.6928207278,-0.3828292787,0.9971413612,0.6526664495,0.862007916,0.01943672076,0.9934053421,0.4254697859,0.8576046824,0.01299542654,0.9968050718,0.6329905391,0.892865777,0.04961466789,0.9578327537,0.4466597438,0.8845947385,0.04197626561,0.9731368423,0.7106484175,0.9156912565,-0.1082525402,0.9830938578,0.3705934882,0.911636591,-0.1173200458,0.98933357
